slug,name,enforces,prefixes,source,source_url,page
portsmouth-city-council,Portsmouth City Council,bus lanes and moving traffic restrictions,PO,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/portsmouth-city-council
reading-borough-council,Reading Borough Council,bus lanes and moving traffic restrictions,RG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/reading-borough-council
redbridge,Redbridge,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/redbridge
richmond-upon-thames,Richmond upon Thames,bus lanes and moving traffic restrictions,RT,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/richmond-upon-thames
rochdale-metropolitan-borough-council,Rochdale Metropolitan Borough Council,moving traffic restrictions,RE,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/rochdale-metropolitan-borough-council
rotherham-metropolitan-borough-council,Rotherham Metropolitan Borough Council,moving traffic restrictions,RH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/rotherham-metropolitan-borough-council
royal-borough-of-windsor-and-maidenhead,Royal Borough of Windsor and Maidenhead,moving traffic restrictions,RW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/royal-borough-of-windsor-and-maidenhead
salford-city-council,Salford City Council,bus lanes and moving traffic restrictions,SL,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/salford-city-council
sandwell-metropolitan-borough-council,Sandwell Metropolitan Borough Council,bus lanes,SD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/sandwell-metropolitan-borough-council
sheffield-city-council,Sheffield City Council,bus lanes and moving traffic restrictions,FD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/sheffield-city-council
shropshire-council,Shropshire Council,moving traffic restrictions,ZX,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/shropshire-council
slough-borough-council,Slough Borough Council,bus lanes and moving traffic restrictions,SB,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/slough-borough-council
solihull-metropolitan-borough-council,Solihull Metropolitan Borough Council,bus lanes and moving traffic restrictions,OH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/solihull-metropolitan-borough-council
somerset-council,Somerset Council,bus lanes,US; UQ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/somerset-council
south-gloucestershire-council,South Gloucestershire Council,bus lanes and moving traffic restrictions,GS; QP,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/south-gloucestershire-council
south-tyneside-council,South Tyneside Council,bus lanes,TY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/south-tyneside-council
southampton-city-council,Southampton City Council,bus lanes and moving traffic restrictions,SN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/southampton-city-council
southend-on-sea-city-council,Southend-on-Sea City Council,moving traffic restrictions,OS,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/southend-on-sea-city-council
southwark,Southwark,bus lanes and moving traffic restrictions,JK,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/southwark
staffordshire-county-council,Staffordshire County Council,bus lanes,GE,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/staffordshire-county-council
