slug,name,trading_as,aliases,accreditation,appeal_service,is_debt_collector,website,complaints_policy_url,source,source_url,page,method_anpr,method_ticket_to_windscreen,method_self_ticket,method_tariff_pursuit,method_debt_recovery,method_post_debt_recovery,method_litigation
parkpay-services,Parkpay Services LTD,Park-Pay,,IPC,IAS,no,http://www.park-pay.co.uk/,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/parkpay-services,not published,not published,not published,not published,not published,not published,not published
parkshield-collection,Parkshield Collection Ltd,PCP Enforcement Agency and P.C.P.E.A,,IPC,IAS,no,http://www.parkingenforcementagency.org,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/parkshield-collection,not published,not published,not published,not published,not published,not published,not published
parktech-car-park-management,ParkTech Car Park Management Ltd,ParkTech,,BPA,POPLA,no,http://www.park-tech.co.uk,https://www.park-tech.co.uk/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/parktech-car-park-management,yes,no,no,no,no,no,no
pcn-nw,PCN (NW) Ltd,,,IPC,IAS,no,http://www.pcnnw.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/pcn-nw,not published,not published,not published,not published,not published,not published,not published
pm-solutions-mcr,PM Solutions (MCR) LTD,SV Parking,,IPC,IAS,no,http://www.parkingmanagementsol.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/pm-solutions-mcr,not published,not published,not published,not published,not published,not published,not published
premier-park,Premier Park Ltd,,,BPA,POPLA,no,http://www.premierpark.co.uk,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fpremierpark.co.uk%2Fwp-content%2Fuploads%2F2025%2F09%2FSCP_UpdatedComplaintsPolicy_PremierParkLtd.docx&wdOrigin=BROWSELINK,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/premier-park,yes,yes,yes,no,no,no,no
premier-parking-enforcement,Premier Parking Enforcement Limited,,,BPA; IPC,POPLA; IAS,no,https://premierparkingenforcementltd.com/,https://premierparkingenforcementltd.com/complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/premier-parking-enforcement,yes,yes,yes,no,no,no,no
premier-parking-solutions,Premier Parking Solutions Ltd,,,IPC,IAS,no,http://www.pps.uk.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/premier-parking-solutions,not published,not published,not published,not published,not published,not published,not published
private-parking-management,Private Parking Management Limited,,,BPA,POPLA,no,http://www.privateparkingmanagement.com,http://www.privateparkingmanagement.com/complaints-policy-and-procedures,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/private-parking-management,yes,yes,no,no,no,no,no
private-parking-services,Private Parking Services Ltd,,,IPC,IAS,no,https://privateparkingservices.co.uk/,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/private-parking-services,not published,not published,not published,not published,not published,not published,not published
private-parking-solutions-london,Private Parking Solutions (London) Limited,,,BPA,POPLA,no,http://www.privateparkingsolutions.co.uk,https://www.privateparkingsolutions.com/legalities.html,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/private-parking-solutions-london,no,yes,yes,no,no,no,no
q-park,Q-Park Limited,,Q-Park UK,BPA,POPLA,no,http://www.q-park.co.uk,http://www.q-park.co.uk/en-gb/customer-service/parking-charge-notice-complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/q-park,no,yes,no,no,no,no,no
rcp-parking,RCP Parking Ltd,,,BPA,POPLA,no,http://www.rcpparking.com,http://www.rcpparking.com/terms,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/rcp-parking,yes,no,no,no,no,no,no
regent-parking,Regent Parking,Regent Parking (a trading style of SolutionLabs),,IPC,IAS,no,http://www.regentparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/regent-parking,not published,not published,not published,not published,not published,not published,not published
responsible-parking-management,Responsible Parking Management Ltd,,,IPC,IAS,no,http://www.responsibleparkingmanagement.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/responsible-parking-management,not published,not published,not published,not published,not published,not published,not published
retail-park,Retail Park Ltd,,,BPA,POPLA,no,http://www.Retailparkuk.co.uk,http://www.retailparkuk.co.uk/complaints_policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/retail-park,yes,yes,no,no,no,no,no
rmc-business-solutions,RMC Business Solutions,,,BPA,POPLA,no,https://rmcparking.uk,https://rmcparking.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/rmc-business-solutions,yes,no,no,no,no,no,no
s-and-k-car-park-management,S & K Car Park Management Limited,Secure Parking,,IPC,IAS,no,,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/s-and-k-car-park-management,not published,not published,not published,not published,not published,not published,not published
saba,Saba Park Solutions UK Limited,Saba Park Services UK Limited,,BPA,POPLA,no,https://www.sabaparking.co.uk/,http://www.sabaparking.co.uk/complaints-policy-and-procedure,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/saba,yes,yes,yes,no,no,no,no
safe-enforcement,Safe Enforcement ltd,,,IPC,IAS,no,https://safeenforce.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/safe-enforcement,not published,not published,not published,not published,not published,not published,not published
sagoss,Sagoss Limited,ParkFair,,BPA,POPLA,no,http://www.sagoss.co.uk,http://www.parkfair.co.uk/compliants-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/sagoss,yes,yes,no,no,no,no,no
secure-parking-solutions,Secure Parking Solutions Ltd,,,BPA,POPLA,no,http://www.secureparkingsolutions.co.uk,https://www.secureparkingsolutions.co.uk/complaints-policy/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/secure-parking-solutions,yes,yes,no,no,no,no,no
secure-a-space,Secure-a-Space Ltd,,,BPA,POPLA,no,http://www.secureaspace.co.uk,http://www.secureaspace.co.uk/complaints,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/secure-a-space,yes,yes,no,no,no,no,no
securitas-security-services,Securitas Security Services Limited,,,BPA,POPLA,no,http://www.securitas.co.uk,,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/securitas-security-services,yes,yes,yes,no,no,no,no
select-parking,Select Parking Ltd,,,BPA,POPLA,no,http://www.selectparking.co.uk,http://www.selectparking.co.uk/assets/SP%20Complaints%20Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/select-parking,yes,yes,no,no,no,no,no
shield-security-services-yorkshire,Shield Security Services (Yorkshire) Ltd,,,BPA,POPLA,no,http://www.shield-security.co.uk,https://www.shield-security.co.uk/wp-content/uploads/2023/06/Operator-Complaints-Policy.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/shield-security-services-yorkshire,yes,yes,no,no,no,no,no
sip-parking,SiP Parking Limited,ANPReye; Morgan Knightley & Co; SIP Car Parks; Simple Intelligent Parking; Stops Illegal Parking,,IPC,IAS,no,http://www.sipcarparks.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/sip-parking,not published,not published,not published,not published,not published,not published,not published
