"feitcode","omschrijving","wettelijke_grondslag","artikel","tarief_2026_eur","zaken_2025","gemiddeld_bedrag_2025_eur","pagina"
"R395","Een voertuig zo laten staan, dat gevaar op de weg wordt of kan worden veroorzaakt of verkeer wordt of kan worden gehinderd","een voertuig op een zodanige wijze laten staan waardoor op de weg gevaar wordt/kan worden veroorzaakt, dan wel het verkeer wordt/kan worden gehinderd","5 WVW 1994","190","9317","186.89","https://www.catoappeals.com/nl/feitcodes/r395"
"R397A","een voertuig parkeren binnen 5 meter van een kruispunt","als bestuurder een voertuig parkeren – bij een kruispunt op een afstand van minder dan vijf meter daarvan","24 lid 1 sub a RVV 1990","130","8939","120.01","https://www.catoappeals.com/nl/feitcodes/r397a"
"R478","Een motorvoertuig binnen een erf niet op een parkeerplaats parkeren","als bestuurder een motorvoertuig binnen een erf parkeren anders dan op parkeerplaatsen die als zodanig zijn aangeduid of aangegeven","46 RVV 1990","130","7295","120","https://www.catoappeals.com/nl/feitcodes/r478"
"R397B","een voertuig parkeren voor een inrit of uitrit","als bestuurder een voertuig parkeren – voor een inrit of uitrit","24 lid 1 sub b RVV 1990","130","6266","119.99","https://www.catoappeals.com/nl/feitcodes/r397b"
"R396I","een voertuig naast een gele doorgetrokken streep laten stilstaan","als bestuurder een voertuig laten stilstaan – langs een gele doorgetrokken streep","62 jo. 23 lid 1 sub g RVV 1990","130","5837","119.87","https://www.catoappeals.com/nl/feitcodes/r396i"
"R400AB","Bij een blauwe streep langer parkeren dan is toegestaan","als bestuurder een voertuig dubbel parkeren – de toegestane parkeerduur is verstreken","25 lid 4 RVV 1990","130","5303","119.99","https://www.catoappeals.com/nl/feitcodes/r400ab"
"R397F","Parkeren, terwijl dat volgens het bord niet is toegestaan op die dag of dat tijdstip","als bestuurder een voertuig parkeren – op een parkeergelegenheid, terwijl dat voertuig staat geparkeerd op dagen of uren waarop dit blijkens het onderbord is verboden","24 lid 1 sub d RVV 1990","130","4738","120","https://www.catoappeals.com/nl/feitcodes/r397f"
"R397G","een voertuig parkeren langs een gele onderbroken streep","als bestuurder een voertuig parkeren – langs een gele onderbroken streep","24 lid 1 sub e RVV 1990","130","4581","120.01","https://www.catoappeals.com/nl/feitcodes/r397g"
"R402C","Met een voertuig parkeren op een gehandicaptenparkeerplaats die is gereserveerd voor een ander voertuig","als bestuurder op een gehandicaptenparkeerplaats parkeren anders dan met een voertuig dat voor die gereserveerde gehandicaptenparkeerplaats bestemd is","26 lid 1 RVV 1990","500","4212","498.43","https://www.catoappeals.com/nl/feitcodes/r402c"
"R398","een voertuig dubbel parkeren","als bestuurder een voertuig dubbel parkeren","24 lid 3 RVV 1990","130","3341","119.96","https://www.catoappeals.com/nl/feitcodes/r398"
"R414A","Een groot voertuig (langer dan 6 meter of hoger dan 2,4 meter) parkeren waar dit is verboden vanwege het uitzicht en/of het uiterlijk aanzien van de gemeente","een voertuig dat, met inbegrip van de lading – langer is dan 6 m of hoger is dan 2,4 m zonder ontheffing/vergunning parkeren op een door het college of de burgemeester aangewezen plaats waar dit naar zijn oordeel schadelijk is voor het uiterlijk aanzien van de gemeente","Pl.V","130","3166","119.27","https://www.catoappeals.com/nl/feitcodes/r414a"
"R401","Niet op een parkeerplaats parkeren in een zone waar parkeren alleen is toegestaan met een parkeerschijf","als bestuurder een voertuig parkeren in een parkeerschijfzone, anders dan op een parkeerplaats die als zodanig is aangeduid of aangegeven of die is voorzien van een blauwe streep","25 lid 1 RVV 1990","130","3136","119.98","https://www.catoappeals.com/nl/feitcodes/r401"
"R400AF","parkeren bij blauwe streep terwijl op parkeerschijf niet juiste tijdstip begin parkeren is weergegeven","als bestuurder een voertuig dubbel parkeren – dat motorvoertuig niet is voorzien van een parkeerschijf, waarop aan de getoonde zijde slechts één kalenderuren aanduidende cijferreeks staat die vanaf het begin van het parkeren in duidelijk leesbare cijfers tegen een contrasterende achtergrond in hele of halve uren het tijdstip weergeeft waarop met het parkeren is begonnen","25 lid 3 RVV 1990","130","3022","119.99","https://www.catoappeals.com/nl/feitcodes/r400af"
"R397E","Parkeren op een andere manier dan op het bord staat","als bestuurder een voertuig parkeren – op een parkeergelegenheid, terwijl dat voertuig staat geparkeerd op een andere wijze dan op het bord of op het onderbord is aangegeven","24 lid 1 sub d RVV 1990","130","1895","119.41","https://www.catoappeals.com/nl/feitcodes/r397e"
"R396D","een voertuig op of binnen 5 meter van een oversteekplaats laten stilstaan","als bestuurder een voertuig laten stilstaan – op een oversteekplaats of binnen een afstand van vijf meter daarvan","23 lid 1 sub c RVV 1990","130","1496","119.89","https://www.catoappeals.com/nl/feitcodes/r396d"
"R495","een caravan, kampeerwagen, aanhangwagen, keetwagen, magazijnwagen of iets dergelijks, langer op een weg laten staan dan is toegestaan","zonder ontheffing/vergunning een kampeerwagen, caravan, magazijnwagen, keetwagen, aanhangwagen of ander dergelijk voertuig op een door het college of de burgemeester aangewezen weg waar dit niet is toegestaan, langer dan de vastgestelde termijn te plaatsen of hebben","Pl.V","130","1458","120","https://www.catoappeals.com/nl/feitcodes/r495"
"R396A","een voertuig op een kruispunt laten stilstaan","als bestuurder een voertuig laten stilstaan – op een kruispunt","23 lid 1 sub a RVV 1990","190","1332","188.6","https://www.catoappeals.com/nl/feitcodes/r396a"
"R396B","een voertuig op een fietsstrook laten stilstaan","als bestuurder een voertuig laten stilstaan – op een fietsstrook","23 lid 1 sub b RVV 1990","130","1274","119.81","https://www.catoappeals.com/nl/feitcodes/r396b"
